ar,bs-Latn,bg,ca,zh-CHS,zh-CHT,hr,cs,da,nl,en,et,fi,fr,de,el,ht,he,hi,mww,hu,id,it,ja,sw,tlh,tlh-Qaak,ko,lv,lt,ms,mt,yua,no,otq,fa,pl,pt,ro,ru,sr-Cyrl,sr-Latn,sk,sl,es,sv,th,tr,uk,ur,vi,cy
طين,glina,глина,argila,粘土,粘土,Glina,jíl,ler,klei,clay,savi,Clay,argile,Clay,άργιλος,tè glèz,קליי,क्ले,av nplaum,agyag,tanah liat,argilla,粘土,udongo,clay,,클레이,Māls,Molis,tanah liat,tal-fuħħar,arcilla,leire,arcilla,خشت,gliny,argila,Argila,Глина,глина,glina,hlina,gline,arcilla,lera,ดินเหนียว,Kil,глина,مٹی,đất sét,clai
تنظيف,čišćenje,чисти,netejar,清洁,清潔,čišćenje,vyčistit,ren,schoon,clean,puhas,Puhdista,nettoyer,reinigen,Καθαρίστε,netwaye,לנקות,साफ,ntxuav,tiszta,bersih,pulire,きれい,safi,Say',,청소,iztīriet,valyti,Pelancong perseorangan,Naddaf,cho'oik,Rengjør,limpiar,تمیز کردن,czyste,limpar,curat,очистить,Оиисти,Oиisti,čisté,čiščenje,limpiar,Rengör,ทำความสะอาด,temiz,очищення,صاف,Sạch sẽ,glân
على مدار الساعة,sat,часовник,rellotge,时钟,時鐘,sat,hodiny,ur,klok,clock,kella,kello,horloge,Uhr,Ρολόι,lòlÃ j,שעון,घड़ी,moos,óra,Clock,orologio,時計,saa,tlhaq,,시계,pulkstenis,laikrodis,jam,arloġġ,p'isibo',klokke,Ar ora,ساعت,zegar,relógio,ceas,Будильник,сат,sat,hodiny,ura,reloj,klockan,นาฬิกา,Saat,годинник,گھنٹہ گھر,đồng hồ,cloc
قم بإغلاق,Zatvori,затвори,tancar,关闭,關閉,Zatvori,Zavřít,Luk,sluiten,close,Sulgege,Sulje,fermer,in der Nähe,Κλείστε,fèmen,סגור,बंद करें,kaw,zár,Tutup,chiudere,閉じる,Funga,SoQmoH,,닫기,aizveriet,uždaryti,Tutup,Agħlaq,muts'ik in,Lukk,cerrar,بستن,Zamknij,fechar,închide,закрыть,Затвори,Zatvori,Zavrieť,blizu,cerrar,Stäng,ปิด,Kapat,закрити,بند کریں,đóng,cau
ملابس,odjeća,облекло,roba,服装,服裝,odjeća,oblečení,tøj,kleding,clothing,Riietus,vaatteet,vêtements,Kleidung,είδη ένδυσης,rad,בגדים,वस्त्र,ris tsho,ruházat,pakaian,Abbigliamento,衣料品,nguo,Sut,,의류,apģērbi,apranga,Pakaian,ħwejjeġ,nook',klær,ya 'bitu,لباس,Odzież,vestuário,îmbrăcăminte,Одежда,одеће,odeće,oblečenie,oblačila,ropa,kläder,เสื้อผ้า,giyim,Одяг,لباس,Quần áo,dillad
نادي,klub,клуб,Club de,俱乐部,俱樂部,klub,klub,Club,Club,club,Club,Club,Club,Club,λέσχη,bay chaplèt,מועדון,क्लब,qws,Club,Club,Club,クラブ,klabu,jeqqIj,,클럽,klubs,klubas,Kelab,Club,Club,Club,Club,باشگاه,Klub,Clube,Club,клуб,клуб,klub,klub,klub,Club,Club,คลับ,Club,клуб,کلب,câu lạc bộ,Clwb
معطف,kaput,палто,abric,外套,外套,kaput,kabát,frakke,jas,coat,mantel,takki,manteau,Mantel,παλτό,kouvri ak kouch,את המעיל,कोट,tsho tiv no,kabát,mantel,cappotto,コート,koti,cheSvel,,코트,kažoks,kailis,kot,Iksi,capa,frakk,capa,کت,płaszcz,casaco,Stemă,Пальто,капут,kaput,kabát,plašč,capa,kappa,เสื้อ,ceket,пальто,کوٹ,Áo khoác,côt
القهوة,kava,кафе,cafè,咖啡,咖啡,kava,káva,kaffe,koffie,coffee,Kohv,kahvi,café,Kaffee,καφέ,kafe,קפה,कॉफी,kas fes,kávé,kopi,caffè,コーヒー,kahawa,qa'vIn,,커피,kafijas,kavos,kopi,tal-kafè,uk'aj chuuk waj,kaffe,kafe,قهوه,Kawa,café,cafea,кофе,кафу,kafu,káva,kava,café,kaffe,กาแฟ,kahve,Кава,کافی,cà phê,coffi
الباردة,hladno,студено,fred,感冒,感冒,hladno,studené,kolde,koude,cold,külm,kylmä,froide,Kälte,κρύο,Mwen fret,קר,ठंड,khaub thuas,hideg,dingin,freddo,冷,baridi,bIr,,감기,auksti,šaldymo,sejuk,kiesaħ,ke'el,kalde,ntse̲,سرد,zimno,frio,rece,холодная,хладни,hladni,studená,hladno,frío,kalla,เย็น,soğuk,холодної,سرد,lạnh,oer
لون,boja,цвят,color,颜色,顏色,boja,Barva,farve,Kleur,color,värv,väri,Couleur,Farbe,χρώμα,koulè,צבע,रंग,xim,szín,warna,Colore,色,Rangi,color,,색,krāsa,spalva,warna,il-kulur,Boonil,farge,Ar njät'i,رنگ,Kolor,Cor,culoare,Цвет,боја,boja,Farba,barva,Color,färg,สี,Renk,колір,رنگ,màu sắc,lliw
جهاز الكمبيوتر,Računalo,компютър,ordinador,计算机,電腦,računalo,počítač,computer,computer,computer,arvuti,tietokone,ordinateur,Computer,υπολογιστή,konpitè,המחשב,कंप्यूटर,khoos phib tawj,számítógép,komputer,computer,コンピューター,tarakilishi,De'wI',,컴퓨터,dators,kompiuteris,komputer,il-kompjuter,computadora,datamaskinen,computadora,کامپیوتر,komputera,computador,calculator,компьютер,компјутер,kompjuter,počítač,računalnik,computadora,dator,คอมพิวเตอร์,bilgisayar,комп'ютер,کمپیوٹر,máy tính,cyfrifiadur
برنامج كمبيوتر,računalni program,компютърна програма,programa d'ordinador,计算机程序,電腦程式,računalni program,počítačový program,computerprogram,computerprogramma,computer program,arvutiprogramm,tietokoneohjelma,programme informatique,Computer-Programm,πρόγραμμα υπολογιστή,pwogram òdinatè,תוכנית מחשב,कंप्यूटर प्रोग्राम,qho computer program,számítógépes program,program komputer,programma per computer,コンピュータ プログラム,programu ya kompyuta,De'wI' ghun, ,컴퓨터 프로그램,datorprogramma,kompiuterių programos,program komputer,programm tal-kompjuter,Cha'ana' computadora,dataprogram,Programa computadora,برنامه کامپیوتری,program komputerowy,programa de computador,program pentru calculator,Компьютерная программа,рачунарски програм,računarski program,počítačový program,računalniški program,Programa de computadora,datorprogram,โปรแกรมคอมพิวเตอร์,bilgisayar programı,Комп'ютерна програма,شمارندی برنامج,chương trình máy tính,rhaglen gyfrifiadurol
ساكن,konsonant,съгласна,Consonant,辅音,輔音,konsonant,souhláska,konsonant,medeklinker,consonant,kaashääliku,konsonantti,Consonne,Konsonanten,Σύμφωνο,Konsòn,עיצורים,व्यंजन,consonant,mássalhangzó,Konsonan,consonante,子音,Konsonanti,consonant,,자음,līdzskanis,priebalsių,konsonan,konsonanti,consonante,konsonant,consonante,همخوان,Spółgłoska,consoante,Consoană,согласные,самогласник,samoglasnik,spoluhláska,soglasnik,consonante,konsonant,พยัญชนะ,ünsüz,приголосний,حرفِ,phụ âm,cytsain
عقد,ugovor,договор,contracte,合同,合同,ugovor,smlouva,kontrakt,contract,contract,lepingu,sopimus,contrat,Vertrag,σύμβαση,anmase/sere kò,חוזה,अनुबंध,daim ntawv cog lus,szerződés,kontrak,contratto,契約,Mkataba,contract,,계약,līgums,sutarties,kontrak,kuntratt,contrato,kontrakt,contrato,قرارداد,umowy,contrato,contract,контракт,уговор,ugovor,zmluvy,pogodbe,contrato,kontrakt,สัญญา,sözleşme,договір,معاہدہ,hợp đồng,contract
كوك,kuhati,Кук,cuinar,厨师,廚師,kuhati,Cook,Cook,koken,cook,kokk,kokki,faire cuire,Kochen,μάγειρας,kizin,לבשל,कुक,ua noj,szakács,memasak,cuoco,クック,kupika,vutwI',,쿡,pavārs,virėjas,masak,cook,cocinar,Cook,cocinar,کوک,kucharz,cozinhar,bucătar,Кук,Кук,Kuk,kuchár,kuhar,cocinar,Cook,ปรุงอาหาร,aşçı,Кука,کھانا پکانا,nấu ăn,cogydd
كول,kul,готино,fresc,很酷,很酷,kul,Cool,cool,cool,cool,Cool,Cool,cool,cool,δροσερό,anfwa,מגניב,शांत,laj,Cool,keren,Cool,クールな,baridi,cool,,쿨,atdzist,kietas,Cool,jiksaħ,ts'o'onota',Cool,nxa,داغ,Spoko,Fresco,cool,Классно,кул,kul,v pohode,kul,fresco,cool,เย็น,serin,Cool,ڈاؤن لوڈ، اتارنا,mát mẻ,yn oer
النحاس,Bakar,мед,coure,铜,銅,Bakar,měď,kobber,koper,copper,vask,kupari,cuivre,Kupfer,Χαλκός,Kuiv,נחושת,तांबे,tooj,réz,tembaga,rame,銅,shaba,copper,,구리,varš,vario,tembaga,ir-ram,cobre,kobber,cobre,مس,Miedź,cobre,cupru,Медь,бакар,bakar,meď,bakra,cobre,koppar,ทองแดง,Bakır,Мідь,تانبا,đồng,copr
الذرة,kukuruz,царевица,blat de moro,玉米,玉米,kukuruz,kukuřice,majs,maïs,corn,Corn,maissi,maïs,Mais,καλαμπόκι,mayi,תירס,मकई,pob kws,kukorica,jagung,mais,トウモロコシ,nafaka,corn,,옥수수,kukurūza,kukurūzų,jagung,qamħ,ixi'im,korn,de̲thä,ذرت,kukurydza,milho,porumb,Кукуруза,кукуруз,kukuruz,kukurica,koruza,maíz,majs,ข้าวโพด,Mısır,Кукурудза,مکئی,Ngô,yd
الزاوية,kutak,ъгъл,cantonada,角落里,角落裡,kutak,roh,hjørne,hoek,corner,Corner,Corner,coin,Ecke,γωνία,kwen,פינה,कोने,ces kaum,sarok,sudut,angolo,コーナー,kona,jIba'laH,,코너,stūris,kampe,sudut,kantuniera,ti'its'o',hjørne,ts'ät'i,گوشه,narożnik,canto,colţ,угол,угао,ugao,kútik,kotu,esquina,hörnet,มุม,köşe,кут,گوشہ,góc,gornel
العد,Grof,брой,Comte,计数,計數,Grof,hrabě,Grev,Graaf,count,Krahv,määrä,comte,Graf,καταμέτρηση,konte,ספירה,गिनती,suav,gróf,Hitung,conteggio,カウント,hesabu,togh,,개수,skaits,skaičius,kiraan,għadd,Conde,antall,Conde,تعداد دفعات مشاهده,Licznik,contagem,Contele,количество,Гроф,Grof,Počet,število,Conde,greve,จำนวน,sayısı,Граф,گنتی,số đếm,cyfrif
البلد,zemlja,страна,país,国家,國家,zemlja,země,land,land,country,riik,maan,pays,Land,χώρα,peyi,מדינה,देश,lub teb chaws,ország,negara,paese,国,nchi,Hatlh,,국가,valsts,šalies,negara,il-pajjiż,lu'uma',land,ar ximha̲i,کشور,kraj,país,Tara,страна,земља,zemlja,krajiny,države,país,land,ประเทศ,ülke,країна,ملک,Quốc gia,wlad
المحكمة,sud,съд,cort,法院,法院,sud,soud,retten,Hof,court,Kohus,tuomioistuin,Cour,Gericht,Δικαστήριο,tribinal,בית המשפט,अदालत,tsev hais plaub,Bíróság,Lapangan,Corte,裁判所,Mahakama,bo'DIj,,법원,tiesa,Teismas,Mahkamah,il-Qorti,corte,retten,Ts'ut'ubi,دادگاه,Sąd,Tribunal,Curtea,Суд,суд,sud,súd,Sodišče,corte,domstol,คอร์ท,Mahkeme,суд,عدالت,tòa án,llys
البقرة,krava,крава,vaca,母牛,母牛,krava,kráva,ko,koe,cow,lehm,lehmä,vache,Kuh,αγελάδα,bèf,פרה,गाय,nyuj,tehén,sapi,mucca,牛,ng'ombe,cow,,암소,govs,karvė,lembu,baqra,wakax,ku,baga,گاو,krowa,vaca,vacă,Корова,крава,krava,krava,krava,vaca,ko,วัว,inek,корова,گائے,con bò,Buchod
الحشد,gužva,тълпата,multitud,人群,人群,gužva,dav,crowd,menigte,crowd,rahvahulga,yleisö,foule,Menge,πλήθος,foul,הקהל,भीड़,tib neeg coob,tömeg,kerumunan,folla,群衆,umati wa watu,ghom'a',,군중,pūlis,minios,orang ramai,folla,multitud,publikum,multitud,جمعیت,tłum,multidão,mulţimea,толпа,Публика,Publika,dav,množice,multitud,folkmassan,ฝูงชน,kalabalık,натовп,ہجوم,đám đông,dorf
صرخة,Vapaj,ВиК,crit,哭,哭,vapaj,Cry,Cry,Cry,cry,Cry,huuto,cri,Schrei,κραυγή,rele,לבכות,रो,quaj,Cry,menangis,grido,泣く,kilio,SaQ,,울 어,sauciens,verkti,menangis,ma,u yawat u,skrik,HMAFI ar,فریاد,krzyk,grito,Cry,Крик,вапај,vapaj,Cry,krik,grito de,Cry,ร้องไห้,Cry,AR;,فریاد,khóc,y gri
كأس,Kup,купа,Copa,杯,杯,kup,pohár,Cup,Beker,cup,Cup,Cup,Coupe,Tasse,Κύπελλο,gode,גביע,कप,khob,kupa,Piala,Coppa,カップ,kikombe,HIvje',,컵,kauss,puodelis,cawan,tat-tazza,lak,Cup,taza,جام,Puchar,Copa,Cupa,Кубок,Куп,Kup,pohár,pokal,taza,Cup,ถ้วย,Kupası,Кубок,کپ,Cúp quốc gia,Cwpan
منحنى,zakrivljena,извита,corbada,弯曲,彎曲,Zakrivljena,zahnutá,buet,gebogen,curved,kõver,kaareva,courbé,gebogen,Καμπύλο,sou deyò,מעוקל,घुमावदार,nkhaus,görbe,melengkung,curvo,湾曲,Mtao,curve,,곡선,izliekts,lenktas,lengkungkan,fit-tond,curvado,buet,curvado,منحنی,zakrzywione,curvo,curbate,изогнутые,Закривљена,Zakrivljena,zakrivené,ukrivljena,curvado,böjda,โค้ง,kavisli,Вигнута,منحنی,cong,crwm
قص,rez,Изрежи,tallar,切,切,rez,řez,cut,knippen,cut,Lõika,Leikkaa,Coupe,Schnitt,περικοπή,Koupé,לחתוך,कट,hlais,vágott,memotong,taglio,カット,Kata,chIp,,잘라내기,Izgriezt,sumažinti,Potong,maqtugħa,corte,kutt,Ts'ut'ubi,برش,Cięcie,corte,taie,вырезать,рез,rez,rez,zmanjšanje,corte,skär,ตัด,kesme,вирізати,کاٹ,cắt,toriad
الرقص,ples,танц,dansa,舞蹈,舞蹈,ples,tanec,dans,dans,dance,tants,tanssi,danse,Tanz,Χορός,dans,ריקוד,नृत्य,las voos,tánc,tari,danza,ダンス,ngoma,mI',,댄스,deja,šokis,tarian,jitg˙allmu,danza,dans,hnei,رقص,taniec,dança,dans,танец,плес,ples,tanec,ples,danza,Dance,เต้นรำ,dans,танець,رقص,khiêu vũ,dawns
الظلام,tamno,тъмно,fosc,黑暗,黑暗,tamno,tmavý,mørk,donker,dark,tume,tumma,sombre,dunkel,σκούρο,fènwa,כהה,अंधेरे,tsaus,sötét,gelap,scuro,暗い,giza,Hurgh,,어두운,tumša,tamsus,gelap,fid-dlam,éek'joch'e'en,mørk,nk'a'mi,تیره,ciemne,escuro,întuneric,Темный,тамна,tamna,tmavé,temno,oscuro,mörk,สีเข้ม,karanlık,Темний,اندھیرا,tối,tywyll
أزرق داكن,Tamno plava,тъмно синьо,blau fosc,深蓝色,深藍色,tamno plava,tmavě modrá,mørkeblå,donker blauw,dark blue,tumesinine,tummansininen,bleu foncé,dunkelblau,σκούρο μπλε,fènwa ble,כחול כהה,गहरा नीला,xiav doog,sötétkék,biru gelap,blu scuro,濃い青,Samawati Kolevu,SuD 'ej Hurgh,  ,진한 파란색,tumši zila,tamsi mėlyna,biru tua,blu skur,ch'ooj éek'joch'e'en,mørk blå,k'angi nk'a'mi,آبی تیره,ciemny niebieski,azul escuro,albastru închis,темно-синий,тамно плава,tamno plava,tmavo modrá,temno modra,azul oscuro,mörk blå,สีน้ำเงินเข้ม,koyu mavi,темно-синій,گہرا نیلا,màu xanh đậm,glas tywyll
تاريخ,datuma,дата,data,日期,日期,datuma,Datum,dato,datum,date,kuupäev,päivämäärä,Date,Datum,ημερομηνία,dat,תאריך,दिनांक,hnub,dátum,tanggal,Data,日付,tarehe,date,,날짜,datums,data,Tarikh,id-data,k'iinil,dato,pa,تاریخ,Data,Data,data,Дата,Датум,Datum,dátum,datum,fecha,datum,วัน,tarihi,Дата,تاریخ,Ngày,Dyddiad
ابنه,kći,дъщеря,filla,女儿,女兒,kćer,dcera,datter,dochter,daughter,tütar,tytär,fille,Tochter,κόρη,pitit fi,הבת,बेटी,ntxhais,lánya,Putri,figlia,娘,binti,puqbe',,딸,meita,dukra,anak perempuan,bint,waal,datter,bätsi,دختر,Córka,filha,fiica,дочь,ћерка,ćerka,dcéra,hči,hija,dotter,ลูกสาว,kızı,дочка,بیٹی,con gái,merch
اليوم,dan,ден,dia,一天,一天,dan,den,dag,dag,day,päev,päivä,Journée,Tag,ημέρα,jou,היום,दिन,hnub,nap,hari,giorno,日,siku,jaj,,하루,diena,dieną,hari,jum,k'iin,dag,Ar pa,روز,dzień,dia,Ziua,день,дан,dan,deň,dan,día,dagen,วัน,gün,день,دن,Ngày,Dydd
الميت,mrtvih,мъртвите,morts,死,死,mrtvih,mrtvý,døde,dood,dead,surnud,kuollut,morte,Toten,νεκρούς,moun ki mouri,מת,मृत,tuag,halott,mati,morti,死者,wafu,Qop,,죽은,miris,mirusiųjų,mati,mejta,pixan,døde,animä,مرده,martwe,mortos,mort,мертвых,мртви,mrtvi,mŕtvych,mrtvih,muertos,döda,ตาย,ölü,мертвих,مردہ,chết,wedi marw
الصم,gluhi,глух,sords,聋人,聾人,gluh,neslyšící,døve,dove,deaf,Kurtide,Kuurojen,sourds,Taube,Κωφών,soud,חירש,बहरा,lag ntseg,siket,tuli,non udenti,聴覚障害者,viziwi,QoyQo'bogh,,청각 장애인,kurls,kurčiųjų,pekak,torox,kóok,døve,sordo,كر,głuchy,surdo,surd,Глухие,глува,gluva,nepočujúcich,gluhe,sordo,döva,คนหูหนวก,Sağır,Глухі,بہرا,Điếc,fyddar
الموت,smrt,смърт,mort,死亡,死亡,smrt,smrt,død,dood,death,surm,kuolema,mort,Tod,θάνατος,mouri,מוות,मौत,tuag,halál,kematian,morte,死,kifo,Hegh,,죽음,nāve,mirties,kematian,mewt,kíimili',død,muerte,مرگ,śmierć,morte,moartea,смерть,смрт,smrt,smrť,smrt,muerte,död,ตาย,Ölüm,смерть,موت,cái chết,marwolaeth
كانون الأول/ديسمبر,Prosinac,Декември,Desembre,12 月,12 月,Prosinac,Prosinec,December,December,December,Detsember,Joulukuuta,Décembre,Dezember,Δεκεμβρίου,Desanm,דצמבר,दिसम्बर,Hlis ntuj nqeg,December,Desember,Dicembre,12 月,Desemba,december,,12 월,Decembris,Gruodžio,Disember,Diċembru,Diciembre,Desember,Disyembre,دسامبر,Grudnia,Dezembro de,Decembrie,Декабрь,Децембра,Decembra,Decembra,Decembra,Diciembre,December,ธันวาคม,Aralık,Грудень,دسمبر,Tháng mười hai,Mis Rhagfyr
ديب,duboko,дълбоко,profund,深,深,duboko,hluboká,dyb,diep,deep,sügav,syvä,profond,tief,βαθύ,gwo twou san fon,עמוק,दीप,tob,mély,mendalam,profondo,深い,kina,jaQ,,깊은,dziļi,giliai,mendalam,fil-fond,taam,dyp,profundo,عمیق,głębokie,profundo,adânc,глубокое,дубоко,duboko,hlboké,globoko,profundo,djup,ลึก,derin,глибоко,گہری,sâu,dwfn
الماس,dijamant,диамант,Diamant,钻石,鑽石,dijamant,diamant,Diamond,diamant,diamond,Diamond,Diamond,diamant,Diamant,διαμάντι,dyaman,יהלום,हीरा,pob zeb diamond,gyémánt,berlian,diamante,ダイヤモンド,Almasi,Separ,,다이아몬드,dimants,Deimantas,Diamond,tad-djamanti,Diamond,diamant,Diamond,الماس,diament,diamante,diamant,Алмаз,дијамант,dijamant,diamant,diamant,Diamond,Diamond,เพชร,elmas,Діамант,ہیرے,kim cương,diemwnt
يموت,umrijeti,Die,moren,模具,模具,umrijeti,Die,Die,sterven,die,Die,Die,Die,sterben,πεθαίνουν,kite/lage sa,למות,मरो,tuag,Die,mati,Die,金型,kufa,Hegh,,다이,nomirt,mirti,Die,die,Die,dør,Die,مرگ,Die,morre,mor,умереть,Умри,Umri,Die,Die,Die,Die,ตาย,Die,померти,مرنا,chết,marw
حفر,kopati,копаят,cavar,挖,挖,kopati,dig,grave,graven,dig,kaevama,kaivaa,creuser,Graben,Σκάψτε,fouye,לחפור,खुदाई,khawb,ásni,menggali,scavare,掘る,kuchimba,mol HaghmoHwI', ,파고,rakt,kasti,menggali,tiftaħha,Dig,grave,Dig,حفاری,kopać,escavação,sape,копать,Копај,Kopaj,kopať,kopati,Dig,gräva,ขุด,kazmak,копати,ڈی آئی جی,đào,palu
العشاء,Večera,вечеря,sopar,晚餐,晚餐,večera,večeře,middag,diner,dinner,õhtusöök,illallinen,dîner,Abendessen,δείπνο,manje midi,ארוחת ערב,रात का खाना,noj hmo,vacsora,makan malam,cena,ディナー,chakula cha jioni,'uQ',,저녁 식사,vakariņas,vakarienė,Majlis Makan malam,lejla,cena,middag,cena,شام,kolacja,jantar,cina,ужин,вечеру,večeru,večera,večerja,cena,middag,อาหารค่ำ,akşam yemeği,вечеря,شام کا کھانا,Bữa ăn tối,cinio
الاتجاه,smjer,посока,Direcció,方向,方向,Smjer,směr,retning,richting,direction,suund,suuntaan,Direction,Richtung,κατεύθυνση,direksyon,כיוון,दिशा,kev taw qhia,irány,Arah,direzione,方向,mwelekeo,lurgh,,방향,virziens,kryptimi,hala tuju,id-direzzjoni,Dirección,retning,'Mui,جهت,kierunek,direção,direcţia,направление,правац,pravac,smer,smer,Dirección,riktning,ทิศทาง,yön,напрямок,سمت,chỉ đạo,cyfeiriad
القذرة,prljava,мръсни,brut,脏,髒,Prljavi,špinavý,beskidt,vuile,dirty,määrdunud,likainen,sale,schmutzige,βρώμικο,sal,מלוכלך,गंदा,moj,piszkos,kotor,sporco,汚い,chafu,lam,,더러운,netīri,purvinas,kotor,maħmuġ,éek',skitne,sucia,کثیف,brudne,sujo,murdare,Грязные,Прљави,Prljavi,špinavé,umazano,sucia,smutsiga,สกปรก,kirli,брудні,گندی,bẩn,budr
المرض,bolest,болест,malaltia,疾病,疾病,bolest,nemoc,sygdom,ziekte,disease,haiguse,tauti,maladie,Krankheit,ασθένεια,move maladi,המחלה,रोग,kab mob,betegség,penyakit,malattia,病気,ugonjwa,ba'ItmaSor rop, ,질병,slimība,ligos,penyakit,il-marda,k'oja'anil,sykdom,enfermedad,بیماری,choroby,doença,boala,болезнь,болест,bolest,choroby,bolezni,enfermedad,sjukdom,โรค,hastalığı,хвороба,بیماری,bệnh,clefyd
طبيب,Doktor,лекар,metge,医生,醫生,Doktor,Doktor,læge,arts,doctor,arst,lääkäri,médecin,Arzt,ο γιατρός,doktè,דוקטור,डॉक्टर,tus kws kho mob,orvos,dokter,medico,医師,daktari,Qel,,의사,ārsts,gydytojas,doktor,tabib,j-ts'aako',legen,médico,دکتر,lekarz,médico,medicul,Доктор,Доктор,Doktor,lekár,zdravnik,médico,läkare,แพทย์,Doktor,лікар,ڈاکٹر,bác sĩ,meddyg
كلب,pas,куче,gos,狗,狗,pas,pes,hund,hond,dog,koer,koira,chien,Hund,σκύλος,chen,הכלב,कुत्ता,aub,kutya,anjing,cane,犬,mbwa,Ha'DIbaH,,개,suns,šuo,anjing,kelb,peek',hunden,tsat'yo,سگ,pies,cão,câine,собака,пас,pas,pes,pes,perro,hund,สุนัข,köpek,собака,کتا,con chó,ci
الدولار,dolar,долар,dòlar,美元,美元,dolar,Dolar,dollar,dollar,dollar,dollar,dollari,Dollar,Dollar,Δολάριο,dola,דולר,डॉलर,duas,dollár,dolar,Dollaro,ドル,dola,dollar,,달러,dolārs,doleris,dolar,dollaru,Dólar,dollar,Dólar,دلار,Dolar,Dólar,Dolar,доллар,долар,dolar,dolár,dolar,Dólar,dollarn,ดอลลาร์,Doları,Долар,ڈالر,đô-la,doler
الباب,vrata,вратата,porta,门,門,vrata,dveře,døren,deur,door,uks,ovi,porte,Tür,πόρτα,devan pòt,הדלת,दरवाजा,qhov rooj,ajtó,pintu,porta,ドア,mlango,lojmIt,,문,durvis,durys,pintu,bieb,joonajo',døren,goxthi,درب,drzwi,porta,usa,двери,врата,vrata,dvere,vrata,puerta,dörr,ประตู,kapı,двері,دروازہ,cửa,drws
دوت,točka,точка,punt,点,點,točka,tečka,dot,stip,dot,dot,dot,dot,dot,τελεία,tach,נקודה,डॉट,teev,pont,Dot,dot,ドット,Kitone,dot,,점,punkts,taškas,dot,DOT,ch'aaj,prikk,punto,نقطه,kropka,ponto,dot,точка,Дот,Dot,bodka,pika,punto,dot,จุด,nokta,точка,نقطہ,dấu chấm,DOT
إلى أسفل,dolje,надолу,avall,向下,向下,dolje,dolů,ned,naar beneden,down,alla,alas,vers le bas,nach unten,προς τα κάτω,desann,למטה,नीचे,cia,le,turun,verso il basso,ダウン,chini,tInwI',,아래로,uz leju,žemyn,ke bawah,isfel,kaambal,ned,abajo,پایین,dół,para baixo,în jos,вниз,доле,dole,nadol,navzdol,abajo,ned,ลง,aşağı,вниз,نیچے,xuống,i lawr
رسم,Crtanje,Реми,sorteig,绘制,繪製,crtanje,Remíza,Draw,loting,draw,Joonista,Piirrä,tirage au sort,zeichnen,κλήρωση,fè potre,לצייר,आरेखित करें,txhuav,Döntetlen,Menggambar,disegnare,描画,Chora,tu'lu'be',,그리기,uzzīmējiet,atkreipti,Cabutan,Pinġi,Buul,tegne,sorteo,قرعه کشی,Losowanie,sorteio,remiză,Ничья,Нацртај,Nacrtaj,Kreslenie,pripravi,sorteo,Rita,วาด,çizmek,Нічия,ڈرا,vẽ,dynnu
حلم,san,мечта,somni,梦想,夢想,San,sen,drøm,droom,dream,unistus,unelma,rêve,Traum,όνειρο,rèv,החלום,सपना,npau suav,álom,mimpi,sogno,夢,ndoto,naj,,꿈,sapnis,svajonė,impian,Dream,weenel,drøm,t'i,رویای,marzenie,sonho,vis,мечта,Сан,San,sen,sanje,sueño,dröm,ฝัน,rüya,мрія,خواب,giấc mơ,breuddwyd
فستان,haljina,рокля,vestit,穿衣服,穿衣服,haljina,šaty,kjole,jurk,dress,Kleit,mekko,robe,Kleid,φόρεμα,abiye,השמלה,पोशाक,tiab,ruha,gaun,Abito,ドレス,mavazi,paH,,드레스,kleita,suknelė,Pakaian,ilbies,Nook'e',kjole,Vestido,لباس,sukienka,vestido,rochie,платье,хаљина,haljina,šaty,obleka,Vestido,klänning,เครื่องแต่งกาย,elbise,плаття,لباس,ăn mặc,gwisg
شراب,piće,напитка,beguda,饮料,飲料,piće,nápoj,drink,drankje,drink,jook,juoma,boisson,trinken,ποτό,bwè,משקה,पेय,haus,ital,minuman,bere,ドリンク,kunywa,tlhutlh,,음료,dzēriens,gėrimas,minuman,ix-xarba,a,drikke,bebida,نوشیدنی,napój,bebida,băutură,напиток,пиће,piće,nápoj,pijača,bebida,drink,เครื่องดื่ม,içki,напій,پینا,thức uống,diod
محرك الأقراص,pogon,карам,unitat,驱动器,磁碟機,pogon,jednotka,kørsel,station,drive,Drive,asema,en voiture,Laufwerk,μονάδα δίσκου,mennen nan machine,נסיעה,ड्राइव,tsav,meghajtó,berkendara,in auto,ドライブ,kiendeshi,"yItungHa', qaH QaQ",  ,드라이브,diskdzinis,automobiliu,memandu,id-drajv,tu kiis buuts,stasjon,jar coche,درایو,dysk,Dirigir,cu maşina,привод,диск јединица,disk jedinica,disk,pogon,en coche,enhet,ไดรฟ์,sürücü,їзди,ڈرائیو,lái xe,gyriant
المخدرات,droga,наркотици,drogues,药物,藥物,droga,drogy,stof,drug,drug,narkootikumide,huumeiden,médicament,Medikament,ναρκωτικών,dwòg,סמים,दवा,tshuaj,kábítószer,obat,droga,薬物,madawa ya kulevya,drug,,마약,narkotikas,narkotikų,ubat-ubatan,tad-droga,drogas,narkotika,drogas,مواد مخدر,lek,Droga,droguri,Препарат,дроге,droge,drog,drog,drogas,drog,ยาเสพติด,uyuşturucu,Препарат,دوا,ma túy,cyffuriau
